model,seed,scenario,actual_new_missing_fraction,accuracy,f1_macro,mae,pearson
prmf_e,2222,clean,0.0,0.6304945054945055,0.6063411574395035,0.6061595678329468,0.6239989108312811
prmf_e,2222,text_start_30pct,0.2996156533892383,0.6208791208791209,0.590272058377526,0.6067790985107422,0.61034395943184
prmf_e,2222,text_middle_30pct,0.2996156533892383,0.6318681318681318,0.6005480365448609,0.6006960868835449,0.6175863856566577
prmf_e,2222,text_end_30pct,0.2996156533892383,0.6304945054945055,0.6005227381179448,0.6033533215522766,0.6231240215165267
prmf_e,2222,text_middle_10pct,0.10191008618681574,0.6304945054945055,0.6035165272799682,0.6036750674247742,0.6220334310415999
prmf_e,2222,text_middle_50pct,0.49953412532028885,0.6277472527472527,0.594419942020771,0.6031976938247681,0.6169528904817065
prmf_e,2222,audio_start_30pct,0.29880037269974374,0.6332417582417582,0.6099016642876292,0.6073986291885376,0.6233393046354904
prmf_e,2222,audio_middle_30pct,0.29880037269974374,0.6304945054945055,0.6063411574395035,0.6067999601364136,0.6232747278930221
prmf_e,2222,audio_end_30pct,0.29891684136967156,0.6332417582417582,0.6091534201641039,0.6064357757568359,0.6239737675288115
prmf_e,2222,audio_middle_10pct,0.10161891451199627,0.6304945054945055,0.6062437002389661,0.6063991189002991,0.623667474318732
prmf_e,2222,audio_middle_50pct,0.4981365012811554,0.6332417582417582,0.6099016642876292,0.6074748039245605,0.622743394704357
prmf_e,2222,vision_start_30pct,0.28400885161891454,0.6236263736263736,0.6008652983420206,0.6024129390716553,0.6252004373579348
prmf_e,2222,vision_middle_30pct,0.2833682739343117,0.6277472527472527,0.6047059808837711,0.6015421152114868,0.6265716615460593
prmf_e,2222,vision_end_30pct,0.28028185418122525,0.6318681318681318,0.6097821505107525,0.6024248600006104,0.6253486939313512
prmf_e,2222,vision_middle_10pct,0.09637782436524575,0.6291208791208791,0.6038294592225457,0.6044617891311646,0.625102639478661
prmf_e,2222,vision_middle_50pct,0.47198928488236663,0.6236263736263736,0.6009775269758073,0.5989188551902771,0.6273432779247121
prmf_e,2222,audio_vision_start_30pct,0.2914046121593291,0.6263736263736264,0.604462473507038,0.6035275459289551,0.6245478327495924
prmf_e,2222,audio_vision_middle_30pct,0.2910843233170277,0.6263736263736264,0.6035772543312741,0.6019840240478516,0.625970060414675
prmf_e,2222,audio_vision_end_30pct,0.2895993477754484,0.6332417582417582,0.6121761022329649,0.6027413010597229,0.6252655859617788
prmf_e,2222,audio_vision_middle_10pct,0.09899836943862102,0.6263736263736264,0.6017065672959364,0.6047109961509705,0.6247470701231589
prmf_e,2222,audio_vision_middle_50pct,0.485062893081761,0.6263736263736264,0.6055701222379005,0.6002526879310608,0.6261681002024152
