variant,seed,scenario,actual_new_missing_fraction,accuracy,f1_macro,mae,pearson
coverage,1111,clean,0.0,0.6414835164835165,0.6046389876406809,0.5932208895683289,0.6427978568874829
coverage,1111,text_start_30pct,0.2996156533892383,0.6304945054945055,0.5914421084390101,0.599379301071167,0.6300128524089724
coverage,1111,text_middle_30pct,0.2996156533892383,0.6332417582417582,0.5903166115125457,0.5897629857063293,0.635165043836574
coverage,1111,text_end_30pct,0.2996156533892383,0.6373626373626373,0.5940002040333803,0.5979259610176086,0.6351942649739889
coverage,1111,text_middle_10pct,0.10191008618681574,0.6373626373626373,0.5986021536897548,0.5914953947067261,0.6399343747007521
coverage,1111,text_middle_50pct,0.49953412532028885,0.6263736263736264,0.5777617941444411,0.5951038599014282,0.6310700493693829
coverage,1111,audio_start_30pct,0.29880037269974374,0.6414835164835165,0.6074233342669348,0.5913329720497131,0.6425599174867246
coverage,1111,audio_middle_30pct,0.29880037269974374,0.6414835164835165,0.6069445573036623,0.5920616388320923,0.6423528915056925
coverage,1111,audio_end_30pct,0.29891684136967156,0.6387362637362637,0.6032617290510371,0.5920302867889404,0.6423081397080044
coverage,1111,audio_middle_10pct,0.10161891451199627,0.6414835164835165,0.6048382792417869,0.5926612615585327,0.6426343494900488
coverage,1111,audio_middle_50pct,0.4981365012811554,0.6346153846153846,0.6005532792287172,0.5911184549331665,0.6420555526337068
coverage,1111,vision_start_30pct,0.28400885161891454,0.6387362637362637,0.6010371701377943,0.5909916758537292,0.6438704510134329
coverage,1111,vision_middle_30pct,0.2833682739343117,0.6373626373626373,0.5999106799370639,0.5918557047843933,0.6442090821626818
coverage,1111,vision_end_30pct,0.28028185418122525,0.6373626373626373,0.6010802556156626,0.5906091332435608,0.6444794409175517
coverage,1111,vision_middle_10pct,0.09637782436524575,0.6401098901098901,0.6026205450733753,0.592430591583252,0.6434699285698054
coverage,1111,vision_middle_50pct,0.47198928488236663,0.6414835164835165,0.6043968024447265,0.5912458300590515,0.6442826421242543
coverage,1111,audio_vision_start_30pct,0.2914046121593291,0.6401098901098901,0.6052712880625939,0.5893518924713135,0.6435049134343592
coverage,1111,audio_vision_middle_30pct,0.2910843233170277,0.6387362637362637,0.6027384584603395,0.5908448696136475,0.6437757931649116
coverage,1111,audio_vision_end_30pct,0.2895993477754484,0.6373626373626373,0.602962458102645,0.5896041393280029,0.6438744847502815
coverage,1111,audio_vision_middle_10pct,0.09899836943862102,0.6387362637362637,0.6016724835153103,0.5919660925865173,0.6433097446913016
coverage,1111,audio_vision_middle_50pct,0.485062893081761,0.635989010989011,0.6033799984713203,0.5895802974700928,0.6436766723122737
coverage,1111,all_three_start_30pct,0.2941416259026322,0.6263736263736264,0.590510559082477,0.5976095199584961,0.6308092832190995
coverage,1111,all_three_middle_30pct,0.2939281000077646,0.6401098901098901,0.5997265454770657,0.5892870426177979,0.6363658026133918
coverage,1111,all_three_end_30pct,0.29293811631337835,0.6332417582417582,0.5934299773906104,0.59747314453125,0.6364674938653084
coverage,1111,all_three_middle_10pct,0.09996894168801926,0.6401098901098901,0.6016585669769395,0.5903192758560181,0.6405200699082607
coverage,1111,all_three_middle_50pct,0.4898866371612703,0.6304945054945055,0.5914633677065635,0.5971280336380005,0.6321871936048903
