model,seed,scenario,actual_new_missing_fraction,accuracy,f1_macro,mae,pearson
emoe,1111,clean,0.0,0.5989010989010989,0.5712536930587168,0.6372306942939758,0.6015648611228005
emoe,1111,text_start_30pct,0.2996156533892383,0.5879120879120879,0.5639488677017042,0.6382637023925781,0.5968486502339582
emoe,1111,text_middle_30pct,0.2996156533892383,0.5947802197802198,0.571240606765928,0.6388330459594727,0.5989903466666613
emoe,1111,text_end_30pct,0.2996156533892383,0.5975274725274725,0.5688416040976223,0.6342265605926514,0.5939088545792088
emoe,1111,text_middle_10pct,0.10191008618681574,0.5947802197802198,0.5673862996625284,0.6390133500099182,0.5975858344862106
emoe,1111,text_middle_50pct,0.49953412532028885,0.5851648351648352,0.5646258798902855,0.644720196723938,0.5965345954638243
emoe,1111,audio_start_30pct,0.29880037269974374,0.6016483516483516,0.576585539757764,0.6356184482574463,0.6013852186931475
emoe,1111,audio_middle_30pct,0.29880037269974374,0.6057692307692307,0.5768361599595395,0.6340316534042358,0.6008217286513848
emoe,1111,audio_end_30pct,0.29891684136967156,0.6098901098901099,0.5831432366614981,0.6422598958015442,0.5884843604593111
emoe,1111,audio_middle_10pct,0.10161891451199627,0.5947802197802198,0.5687158820310995,0.6392557621002197,0.5981827821671232
emoe,1111,audio_middle_50pct,0.4981365012811554,0.6057692307692307,0.5790712930185831,0.6279261112213135,0.6027275420972453
emoe,1111,vision_start_30pct,0.28400885161891454,0.5961538461538461,0.5729170063321446,0.6392987966537476,0.6011329894901839
emoe,1111,vision_middle_30pct,0.2833682739343117,0.5975274725274725,0.5737079870018115,0.6338143944740295,0.6015712487279834
emoe,1111,vision_end_30pct,0.28028185418122525,0.6002747252747253,0.5730212542377121,0.6301649212837219,0.6017715168167665
emoe,1111,vision_middle_10pct,0.09637782436524575,0.6016483516483516,0.5745126726582355,0.6357399821281433,0.6022578879502078
emoe,1111,vision_middle_50pct,0.47198928488236663,0.5934065934065934,0.5703684955240802,0.6304007768630981,0.6014822632329649
emoe,1111,audio_vision_start_30pct,0.2914046121593291,0.5934065934065934,0.5691712663621776,0.6371030211448669,0.6009076982620027
emoe,1111,audio_vision_middle_30pct,0.2910843233170277,0.6071428571428571,0.5819584027811519,0.6310006380081177,0.6005396152777276
emoe,1111,audio_vision_end_30pct,0.2895993477754484,0.6043956043956044,0.5786581222277912,0.6360923647880554,0.5886136740534952
emoe,1111,audio_vision_middle_10pct,0.09899836943862102,0.5975274725274725,0.5742647058823529,0.6375664472579956,0.5988840359017441
emoe,1111,audio_vision_middle_50pct,0.485062893081761,0.6016483516483516,0.5769446148868614,0.6226988434791565,0.6022870337869148
emoe,1111,all_three_start_30pct,0.2941416259026322,0.5879120879120879,0.569481192863759,0.6368182897567749,0.5979832636594705
emoe,1111,all_three_middle_30pct,0.2939281000077646,0.592032967032967,0.5694905363808028,0.6310330033302307,0.5983973646081452
emoe,1111,all_three_end_30pct,0.29293811631337835,0.6085164835164835,0.5829840213574978,0.6328803896903992,0.5823556108944945
emoe,1111,all_three_middle_10pct,0.09996894168801926,0.5934065934065934,0.5691339383771101,0.6385594606399536,0.5949987765160231
emoe,1111,all_three_middle_50pct,0.4898866371612703,0.5796703296703297,0.5616399897081775,0.628420889377594,0.5973461839628037
