model,scenario,actual_new_missing_fraction,accuracy_mean,f1_macro_mean,mae_mean,pearson_mean
prmf_e_ens9,clean,0.0,0.6524725274725275,0.6201999017227405,0.5860885977745056,0.6442738079794202
prmf_e_ens9,text_start_30pct,0.2996156533892383,0.6332417582417582,0.5912856779355498,0.596467137336731,0.6284574303707532
prmf_e_ens9,text_middle_30pct,0.2996156533892383,0.6456043956043956,0.6042741247942348,0.5867813229560852,0.637818481576801
prmf_e_ens9,text_end_30pct,0.2996156533892383,0.6524725274725275,0.6105337098806357,0.5940643548965454,0.6371040567848879
prmf_e_ens9,text_middle_10pct,0.10191008618681574,0.6538461538461539,0.6195547377435601,0.5859484672546387,0.6416479305855428
prmf_e_ens9,text_middle_50pct,0.49953412532028885,0.6291208791208791,0.5795196860865169,0.5917333364486694,0.6338031160846807
prmf_e_ens9,audio_start_30pct,0.29880037269974374,0.6483516483516484,0.6179025335196322,0.585526168346405,0.6434938500115308
prmf_e_ens9,audio_middle_30pct,0.29880037269974374,0.6524725274725275,0.621916998723572,0.5856258869171143,0.643629211072445
prmf_e_ens9,audio_end_30pct,0.29891684136967156,0.6510989010989011,0.6195543980736847,0.5856522917747498,0.643731265667882
prmf_e_ens9,audio_middle_10pct,0.10161891451199627,0.6524725274725275,0.6197529266059747,0.5858525633811951,0.6441280305290493
prmf_e_ens9,audio_middle_50pct,0.4981365012811554,0.6483516483516484,0.6192991263056186,0.5852131247520447,0.643328020281099
prmf_e_ens9,vision_start_30pct,0.28400885161891454,0.6538461538461539,0.6206956367008291,0.5842887163162231,0.6447491979695193
prmf_e_ens9,vision_middle_30pct,0.2833682739343117,0.6510989010989011,0.6176936878124827,0.5842404365539551,0.6460366094614519
prmf_e_ens9,vision_end_30pct,0.28028185418122525,0.6497252747252747,0.6161698139948725,0.5842244625091553,0.6451225407969226
prmf_e_ens9,vision_middle_10pct,0.09637782436524575,0.6538461538461539,0.6200005517375208,0.5852531790733337,0.6449808746137788
prmf_e_ens9,vision_middle_50pct,0.47198928488236663,0.6456043956043956,0.6109179474720348,0.5832046270370483,0.6463998582644793
prmf_e_ens9,audio_vision_start_30pct,0.2914046121593291,0.646978021978022,0.6177222690119978,0.5839307904243469,0.6438708134456604
prmf_e_ens9,audio_vision_middle_30pct,0.2910843233170277,0.6456043956043956,0.6153837034856865,0.5838379859924316,0.6453864324576581
prmf_e_ens9,audio_vision_end_30pct,0.2895993477754484,0.6483516483516484,0.618271929916448,0.5839062929153442,0.6444901349298093
prmf_e_ens9,audio_vision_middle_10pct,0.09899836943862102,0.6538461538461539,0.6222046769233662,0.5850181579589844,0.6448251027762436
prmf_e_ens9,audio_vision_middle_50pct,0.485062893081761,0.6387362637362637,0.610077521429261,0.582591712474823,0.6453845913206964
prmf_e_ens9,all_three_start_30pct,0.2941416259026322,0.6387362637362637,0.6012237755155064,0.596085786819458,0.6278842517735095
prmf_e_ens9,all_three_middle_30pct,0.2939281000077646,0.6428571428571429,0.6034885805024889,0.5857721567153931,0.6390370782229978
prmf_e_ens9,all_three_end_30pct,0.29293811631337835,0.6497252747252747,0.609306458550932,0.594019889831543,0.6373484690858836
prmf_e_ens9,all_three_middle_10pct,0.09996894168801926,0.6524725274725275,0.619075955362228,0.5848623514175415,0.6422175063348672
prmf_e_ens9,all_three_middle_50pct,0.4898866371612703,0.6318681318681318,0.5884531323127814,0.5934749245643616,0.6356667564348141
