variant,seed,scenario,actual_new_missing_fraction,accuracy,f1_macro,mae,pearson
coverage,2222,clean,0.0,0.6277472527472527,0.5989298226798226,0.6018270254135132,0.6292921403968029
coverage,2222,text_start_30pct,0.2996156533892383,0.6167582417582418,0.5786626749555769,0.6050410270690918,0.6155695741698478
coverage,2222,text_middle_30pct,0.2996156533892383,0.6346153846153846,0.601490667691541,0.5977967381477356,0.622979681147405
coverage,2222,text_end_30pct,0.2996156533892383,0.6373626373626373,0.6049725310517039,0.6024523377418518,0.6290636332056604
coverage,2222,text_middle_10pct,0.10191008618681574,0.6291208791208791,0.5992197232479207,0.5993852019309998,0.6273015895443795
coverage,2222,text_middle_50pct,0.49953412532028885,0.6181318681318682,0.5781753808030793,0.60036301612854,0.6220622463692587
coverage,2222,audio_start_30pct,0.29880037269974374,0.625,0.5979688789771319,0.6010404229164124,0.6290658302509183
coverage,2222,audio_middle_30pct,0.29880037269974374,0.6263736263736264,0.5982013554485465,0.6015645265579224,0.6286767225942769
coverage,2222,audio_end_30pct,0.29891684136967156,0.625,0.5971371097700574,0.6010070443153381,0.6294918906463429
coverage,2222,audio_middle_10pct,0.10161891451199627,0.6277472527472527,0.5996094267080144,0.6018451452255249,0.6289517797416335
coverage,2222,audio_middle_50pct,0.4981365012811554,0.6277472527472527,0.6008497640419888,0.6011551022529602,0.6284857856949709
coverage,2222,vision_start_30pct,0.28400885161891454,0.6332417582417582,0.607024941417125,0.5981147289276123,0.6302231476430683
coverage,2222,vision_middle_30pct,0.2833682739343117,0.6291208791208791,0.6023478913828128,0.5964971780776978,0.6327260951423154
coverage,2222,vision_end_30pct,0.28028185418122525,0.6318681318681318,0.604263699132595,0.5974970459938049,0.6309118580744736
coverage,2222,vision_middle_10pct,0.09637782436524575,0.6277472527472527,0.5996094267080144,0.5997661352157593,0.6306471876507738
coverage,2222,vision_middle_50pct,0.47198928488236663,0.6304945054945055,0.6041740110811271,0.594241201877594,0.6336147451246446
coverage,2222,audio_vision_start_30pct,0.2914046121593291,0.625,0.6009337474472017,0.5978826284408569,0.6297609534290151
coverage,2222,audio_vision_middle_30pct,0.2910843233170277,0.6318681318681318,0.6066333587282856,0.5963711738586426,0.6319848562484998
coverage,2222,audio_vision_end_30pct,0.2895993477754484,0.6318681318681318,0.6056989955705431,0.5968706607818604,0.6309685055805414
coverage,2222,audio_vision_middle_10pct,0.09899836943862102,0.6291208791208791,0.6015159320504558,0.5998069047927856,0.6303079794898968
coverage,2222,audio_vision_middle_50pct,0.485062893081761,0.6236263736263736,0.6001165142172393,0.5941407680511475,0.6326996073689436
coverage,2222,all_three_start_30pct,0.2941416259026322,0.6167582417582418,0.5838802272603258,0.603750467300415,0.6159557580258844
coverage,2222,all_three_middle_30pct,0.2939281000077646,0.6304945054945055,0.6003991098785777,0.5939540863037109,0.6256391656638629
coverage,2222,all_three_end_30pct,0.29293811631337835,0.6401098901098901,0.609374748361208,0.6016939878463745,0.6305104887298334
coverage,2222,all_three_middle_10pct,0.09996894168801926,0.6263736263736264,0.596427379760713,0.5972866415977478,0.6282665004798832
coverage,2222,all_three_middle_50pct,0.4898866371612703,0.6222527472527473,0.588817777863583,0.5992441773414612,0.6248855131471643
