model,seed,scenario,actual_new_missing_fraction,accuracy,f1_macro,mae,pearson
emoe,3333,clean,0.0,0.6167582417582418,0.5789057817074835,0.6148728132247925,0.6177681089830358
emoe,3333,text_start_30pct,0.2996156533892383,0.614010989010989,0.5771276344727846,0.6204205751419067,0.611409835403645
emoe,3333,text_middle_30pct,0.2996156533892383,0.6195054945054945,0.5820474166213047,0.6154417395591736,0.6138451617070003
emoe,3333,text_end_30pct,0.2996156533892383,0.6263736263736264,0.5904221926049839,0.6231454014778137,0.6056561954528873
emoe,3333,text_middle_10pct,0.10191008618681574,0.6167582417582418,0.5788250236526346,0.6156231164932251,0.6149500311655149
emoe,3333,text_middle_50pct,0.49953412532028885,0.6195054945054945,0.5817308933683494,0.6162703037261963,0.6149988231370728
emoe,3333,audio_start_30pct,0.29880037269974374,0.6181318681318682,0.5805637332601167,0.6130971312522888,0.6180621358101103
emoe,3333,audio_middle_30pct,0.29880037269974374,0.6222527472527473,0.5849113703217678,0.6146824359893799,0.6173728883878764
emoe,3333,audio_end_30pct,0.29891684136967156,0.6208791208791209,0.5848036582779303,0.6163859963417053,0.6161792952356917
emoe,3333,audio_middle_10pct,0.10161891451199627,0.6167582417582418,0.5787399017578045,0.6148665547370911,0.617614709431711
emoe,3333,audio_middle_50pct,0.4981365012811554,0.6195054945054945,0.5841062375633114,0.614163339138031,0.6172556092835593
emoe,3333,vision_start_30pct,0.28400885161891454,0.6167582417582418,0.580752845014551,0.6180240511894226,0.6152713115965787
emoe,3333,vision_middle_30pct,0.2833682739343117,0.6181318681318682,0.5802468168640095,0.618476927280426,0.6162081986871333
emoe,3333,vision_end_30pct,0.28028185418122525,0.6195054945054945,0.5797526759815337,0.615503191947937,0.6194943871896567
emoe,3333,vision_middle_10pct,0.09637782436524575,0.614010989010989,0.5755816484741862,0.6156575679779053,0.6177222529975414
emoe,3333,vision_middle_50pct,0.47198928488236663,0.6071428571428571,0.5699343724364233,0.6224702000617981,0.6126061439030953
emoe,3333,audio_vision_start_30pct,0.2914046121593291,0.614010989010989,0.5788588095293355,0.6161835789680481,0.6157119761927528
emoe,3333,audio_vision_middle_30pct,0.2910843233170277,0.6167582417582418,0.5789783029721111,0.6181898713111877,0.6157584954491216
emoe,3333,audio_vision_end_30pct,0.2895993477754484,0.6195054945054945,0.5801750844503663,0.6167992949485779,0.618140436068547
emoe,3333,audio_vision_middle_10pct,0.09899836943862102,0.6167582417582418,0.5785005546349233,0.6156395077705383,0.6175861137807257
emoe,3333,audio_vision_middle_50pct,0.485062893081761,0.6043956043956044,0.5677478501242929,0.6213676333427429,0.6119119150974393
emoe,3333,all_three_start_30pct,0.2941416259026322,0.6098901098901099,0.5729634943408258,0.6213738322257996,0.6092731659156095
emoe,3333,all_three_middle_30pct,0.2939281000077646,0.6167582417582418,0.577238113667437,0.6187103390693665,0.6118137912011332
emoe,3333,all_three_end_30pct,0.29293811631337835,0.6277472527472527,0.5894139263396211,0.6255956888198853,0.6052796327437688
emoe,3333,all_three_middle_10pct,0.09996894168801926,0.6153846153846154,0.577210818648599,0.6163604855537415,0.6147477777211895
emoe,3333,all_three_middle_50pct,0.4898866371612703,0.6002747252747253,0.5616628932629365,0.6223641037940979,0.6096168742108161
