variant,seed,scenario,actual_new_missing_fraction,accuracy,f1_macro,mae,pearson
mask,1111,clean,0.0,0.6428571428571429,0.5976830888708283,0.5968297719955444,0.6460171503494623
mask,1111,text_start_30pct,0.2996156533892383,0.6304945054945055,0.5754274982924978,0.5998857021331787,0.6321091554854783
mask,1111,text_middle_30pct,0.2996156533892383,0.6277472527472527,0.5732617251111322,0.5908455848693848,0.6388855466987385
mask,1111,text_end_30pct,0.2996156533892383,0.635989010989011,0.5834404515808936,0.598067045211792,0.6372765405410806
mask,1111,text_middle_10pct,0.10191008618681574,0.6387362637362637,0.5903521415199238,0.5943774580955505,0.6432822103561282
mask,1111,text_middle_50pct,0.49953412532028885,0.625,0.560960998399637,0.5918851494789124,0.6356149600519708
mask,1111,audio_start_30pct,0.29880037269974374,0.6373626373626373,0.593260960710565,0.5953068137168884,0.6456614519781703
mask,1111,audio_middle_30pct,0.29880037269974374,0.6428571428571429,0.5983582625659479,0.5957950353622437,0.6455116319032104
mask,1111,audio_end_30pct,0.29891684136967156,0.6414835164835165,0.5967040028471721,0.5958126783370972,0.6454783921738684
mask,1111,audio_middle_10pct,0.10161891451199627,0.6428571428571429,0.5977928040431907,0.5964168310165405,0.6458654941351963
mask,1111,audio_middle_50pct,0.4981365012811554,0.6401098901098901,0.5972329017858202,0.5947726368904114,0.6453264158416989
mask,1111,vision_start_30pct,0.28400885161891454,0.6428571428571429,0.5966039336137597,0.5944578051567078,0.6469847869007939
mask,1111,vision_middle_30pct,0.2833682739343117,0.6401098901098901,0.5951901650747548,0.5948767066001892,0.6466538220396282
mask,1111,vision_end_30pct,0.28028185418122525,0.6442307692307693,0.600352733686067,0.5939903855323792,0.6466584106957807
mask,1111,vision_middle_10pct,0.09637782436524575,0.6373626373626373,0.5904719019625059,0.5961002707481384,0.6464420690479739
mask,1111,vision_middle_50pct,0.47198928488236663,0.635989010989011,0.5921183579781721,0.5936409831047058,0.6465210677358547
mask,1111,audio_vision_start_30pct,0.2914046121593291,0.6387362637362637,0.5947336325566727,0.5927435755729675,0.6464972971816273
mask,1111,audio_vision_middle_30pct,0.2910843233170277,0.6373626373626373,0.5928753852928226,0.5936201214790344,0.6461345039784533
mask,1111,audio_vision_end_30pct,0.2895993477754484,0.6401098901098901,0.5974278263463738,0.5928390622138977,0.6460282080224652
mask,1111,audio_vision_middle_10pct,0.09899836943862102,0.6373626373626373,0.5904719019625059,0.5956549048423767,0.646275664806838
mask,1111,audio_vision_middle_50pct,0.485062893081761,0.6304945054945055,0.5881513608627209,0.5916458964347839,0.6455989599976949
mask,1111,all_three_start_30pct,0.2941416259026322,0.635989010989011,0.5865607774876703,0.5971360206604004,0.6327092011744637
mask,1111,all_three_middle_30pct,0.2939281000077646,0.6318681318681318,0.5808024666696435,0.589316189289093,0.6388191893727706
mask,1111,all_three_end_30pct,0.29293811631337835,0.6428571428571429,0.5937411788105403,0.5950059294700623,0.6378825930957596
mask,1111,all_three_middle_10pct,0.09996894168801926,0.6373626373626373,0.5894503955184388,0.5932373404502869,0.6435946735406665
mask,1111,all_three_middle_50pct,0.4898866371612703,0.6263736263736264,0.5694238484994383,0.5926306247711182,0.6350032362721604
