model,seed,scenario,actual_new_missing_fraction,accuracy,f1_macro,mae,pearson
emoe,1111,clean,0.0,0.6181318681318682,0.5940773191031133,0.6235257387161255,0.6160513727678444
emoe,1111,text_start_30pct,0.2996156533892383,0.6181318681318682,0.5916785561855984,0.6416803598403931,0.6008632678693595
emoe,1111,text_middle_30pct,0.2996156533892383,0.6153846153846154,0.5908288709733037,0.6308112740516663,0.6117143256995393
emoe,1111,text_end_30pct,0.2996156533892383,0.6236263736263736,0.5977886597518149,0.633956253528595,0.6072359689245552
emoe,1111,text_middle_10pct,0.10191008618681574,0.6181318681318682,0.5950811950206075,0.6244195103645325,0.6144816729922835
emoe,1111,text_middle_50pct,0.49953412532028885,0.603021978021978,0.5730621887822119,0.641912579536438,0.6054806137674503
emoe,1111,audio_start_30pct,0.29880037269974374,0.6236263736263736,0.5994164240616515,0.6232608556747437,0.6152123116477785
emoe,1111,audio_middle_30pct,0.29880037269974374,0.6112637362637363,0.5912030470186499,0.6193196177482605,0.6185525520671207
emoe,1111,audio_end_30pct,0.29891684136967156,0.6167582417582418,0.5961688567548084,0.6221002340316772,0.6181009232330652
emoe,1111,audio_middle_10pct,0.10161891451199627,0.6167582417582418,0.592993438934068,0.6218348145484924,0.6180036349901946
emoe,1111,audio_middle_50pct,0.4981365012811554,0.603021978021978,0.5821627973413167,0.617193341255188,0.6194202217264129
emoe,1111,vision_start_30pct,0.28400885161891454,0.6167582417582418,0.5920823155133904,0.6244186758995056,0.6139738641395962
emoe,1111,vision_middle_30pct,0.2833682739343117,0.6098901098901099,0.5843430817316525,0.62692791223526,0.6143452851386064
emoe,1111,vision_end_30pct,0.28028185418122525,0.6126373626373627,0.5882840754854766,0.6284924149513245,0.6107478801541495
emoe,1111,vision_middle_10pct,0.09637782436524575,0.6167582417582418,0.5925401769484412,0.6239082217216492,0.6159532329113695
emoe,1111,vision_middle_50pct,0.47198928488236663,0.6071428571428571,0.5799095778662342,0.6296820640563965,0.6111934167435029
emoe,1111,audio_vision_start_30pct,0.2914046121593291,0.6181318681318682,0.5933701341310692,0.6240437030792236,0.613161677763432
emoe,1111,audio_vision_middle_30pct,0.2910843233170277,0.6098901098901099,0.5860803563237792,0.6223239302635193,0.6174353109973364
emoe,1111,audio_vision_end_30pct,0.2895993477754484,0.6057692307692307,0.5829956305247133,0.6258251070976257,0.6137429051165605
emoe,1111,audio_vision_middle_10pct,0.09899836943862102,0.6167582417582418,0.5929797698368473,0.6222111582756042,0.6179660305668527
emoe,1111,audio_vision_middle_50pct,0.485062893081761,0.5947802197802198,0.5729106237128757,0.6216916441917419,0.6160901704679963
