variant,seed,scenario,actual_new_missing_fraction,accuracy,f1_macro,mae,pearson
consistency,1111,clean,0.0,0.6387362637362637,0.6038931322966958,0.5918236374855042,0.6405455975027243
consistency,1111,text_start_30pct,0.2996156533892383,0.6304945054945055,0.5903868827852884,0.6003065705299377,0.628254469795713
consistency,1111,text_middle_30pct,0.2996156533892383,0.6304945054945055,0.5861994019888757,0.5920692682266235,0.6343785990407314
consistency,1111,text_end_30pct,0.2996156533892383,0.625,0.5798120112901207,0.5990413427352905,0.632844002370165
consistency,1111,text_middle_10pct,0.10191008618681574,0.6346153846153846,0.5981336029908776,0.5925003886222839,0.637793600329118
consistency,1111,text_middle_50pct,0.49953412532028885,0.6181318681318682,0.570170868462657,0.5960083603858948,0.6320588075053111
consistency,1111,audio_start_30pct,0.29880037269974374,0.635989010989011,0.6029870074670615,0.5907321572303772,0.6402306444120947
consistency,1111,audio_middle_30pct,0.29880037269974374,0.635989010989011,0.6029870074670615,0.5911361575126648,0.6401750071500963
consistency,1111,audio_end_30pct,0.29891684136967156,0.635989010989011,0.6029870074670615,0.5909463167190552,0.6399423726288007
consistency,1111,audio_middle_10pct,0.10161891451199627,0.6373626373626373,0.6034007014619579,0.5913928151130676,0.6405356822636632
consistency,1111,audio_middle_50pct,0.4981365012811554,0.635989010989011,0.6032462107837877,0.5903854370117188,0.6397877327720182
consistency,1111,vision_start_30pct,0.28400885161891454,0.6291208791208791,0.5923343333653329,0.5895524024963379,0.6421948248371537
consistency,1111,vision_middle_30pct,0.2833682739343117,0.6277472527472527,0.5923648905910547,0.5904345512390137,0.6422129752908734
consistency,1111,vision_end_30pct,0.28028185418122525,0.6304945054945055,0.5952738380146778,0.5894882678985596,0.6420865623533536
consistency,1111,vision_middle_10pct,0.09637782436524575,0.6346153846153846,0.5997919831221776,0.5911908149719238,0.6413128031283831
consistency,1111,vision_middle_50pct,0.47198928488236663,0.6277472527472527,0.5926506307855613,0.5895068645477295,0.6426207922106325
consistency,1111,audio_vision_start_30pct,0.2914046121593291,0.6304945054945055,0.5974430099815322,0.5885680317878723,0.6418500559805582
consistency,1111,audio_vision_middle_30pct,0.2910843233170277,0.6332417582417582,0.600500334365634,0.5897222757339478,0.6419407180022237
consistency,1111,audio_vision_end_30pct,0.2895993477754484,0.6291208791208791,0.5960878005076901,0.5888599157333374,0.6414351201408732
consistency,1111,audio_vision_middle_10pct,0.09899836943862102,0.635989010989011,0.6019937616773114,0.5907329320907593,0.6412609672373615
consistency,1111,audio_vision_middle_50pct,0.485062893081761,0.6277472527472527,0.5964249630271184,0.5879824161529541,0.6420377598386635
consistency,1111,all_three_start_30pct,0.2941416259026322,0.6236263736263736,0.5887224226480466,0.5982064008712769,0.6294016922649244
consistency,1111,all_three_middle_30pct,0.2939281000077646,0.6373626373626373,0.5990404136732574,0.5914080142974854,0.6354348771943454
consistency,1111,all_three_end_30pct,0.29293811631337835,0.6277472527472527,0.5871283087044707,0.5983012914657593,0.6338971481595391
consistency,1111,all_three_middle_10pct,0.09996894168801926,0.6346153846153846,0.5974838498003145,0.5914075970649719,0.6385392433877608
consistency,1111,all_three_middle_50pct,0.4898866371612703,0.6291208791208791,0.58753948339832,0.5972334742546082,0.6329143295523647
