model,seed,scenario,actual_new_missing_fraction,accuracy,f1_macro,mae,pearson
emoe,2222,clean,0.0,0.6277472527472527,0.5956679882071101,0.6119548082351685,0.6185248994978304
emoe,2222,text_start_30pct,0.2996156533892383,0.625,0.5965533396491856,0.6178596615791321,0.6071999722156136
emoe,2222,text_middle_30pct,0.2996156533892383,0.635989010989011,0.6034439635391571,0.6145103573799133,0.6144195460126194
emoe,2222,text_end_30pct,0.2996156533892383,0.6318681318681318,0.5988281698979875,0.6105132699012756,0.6146621538783638
emoe,2222,text_middle_10pct,0.10191008618681574,0.6263736263736264,0.5943754452526382,0.6125648617744446,0.6165330017409998
emoe,2222,text_middle_50pct,0.49953412532028885,0.6236263736263736,0.5858333367404219,0.6139522790908813,0.6119139895118157
emoe,2222,audio_start_30pct,0.29880037269974374,0.6195054945054945,0.5955161202250348,0.6105659604072571,0.6176360679395797
emoe,2222,audio_middle_30pct,0.29880037269974374,0.6263736263736264,0.6000307524449248,0.6128484606742859,0.6184344485786404
emoe,2222,audio_end_30pct,0.29891684136967156,0.6332417582417582,0.6058289838717261,0.6165196895599365,0.6148735120633833
emoe,2222,audio_middle_10pct,0.10161891451199627,0.6263736263736264,0.5983153044125468,0.6130601763725281,0.6179639438815744
emoe,2222,audio_middle_50pct,0.4981365012811554,0.6263736263736264,0.6026600822701366,0.61313396692276,0.6157072241587682
emoe,2222,vision_start_30pct,0.28400885161891454,0.625,0.5936564909840474,0.6124844551086426,0.6192335559170203
emoe,2222,vision_middle_30pct,0.2833682739343117,0.6291208791208791,0.6001834045930523,0.6110027432441711,0.618691622375488
emoe,2222,vision_end_30pct,0.28028185418122525,0.6263736263736264,0.595372772876665,0.6101078987121582,0.6188757820407971
emoe,2222,vision_middle_10pct,0.09637782436524575,0.6236263736263736,0.5916845950974953,0.6116787791252136,0.6190649843672746
emoe,2222,vision_middle_50pct,0.47198928488236663,0.6291208791208791,0.5989614812033973,0.6104667782783508,0.6174932019674392
emoe,2222,audio_vision_start_30pct,0.2914046121593291,0.625,0.6010324810235849,0.6104491949081421,0.6185618124183281
emoe,2222,audio_vision_middle_30pct,0.2910843233170277,0.6263736263736264,0.5995785167664266,0.6118710041046143,0.618240889817891
emoe,2222,audio_vision_end_30pct,0.2895993477754484,0.6277472527472527,0.5996514759750055,0.614601731300354,0.6156748368711537
emoe,2222,audio_vision_middle_10pct,0.09899836943862102,0.6208791208791209,0.592637771782795,0.6127548813819885,0.6184906869380393
emoe,2222,audio_vision_middle_50pct,0.485062893081761,0.6208791208791209,0.5990886260220619,0.6113256216049194,0.6141302399333182
